Datetime,Actual,Predicted,Percent,Residual,Under20
2012-08-07 12:00:00,283,277.0,2.1201413427561837,6.0,1
2012-08-07 13:00:00,253,276.0,9.090909090909092,-23.0,1
2012-08-07 14:00:00,261,264.0,1.1494252873563218,-3.0,1
2012-08-07 15:00:00,306,276.0,9.803921568627452,30.0,1
2012-08-07 16:00:00,445,343.0,22.92134831460674,102.0,0
2012-08-07 17:00:00,868,795.0,8.410138248847925,73.0,1
2012-08-07 18:00:00,814,799.0,1.8427518427518428,15.0,1
2012-08-07 19:00:00,610,569.0,6.721311475409836,41.0,1
2012-08-07 20:00:00,448,411.0,8.258928571428571,37.0,1
2012-08-07 21:00:00,317,306.0,3.4700315457413247,11.0,1
2012-08-07 22:00:00,224,246.0,9.821428571428571,-22.0,1
2012-08-07 23:00:00,138,135.0,2.1739130434782608,3.0,1
2012-08-08 00:00:00,58,50.0,13.793103448275861,8.0,1
2012-08-08 01:00:00,23,22.0,4.3478260869565215,1.0,1
2012-08-08 02:00:00,6,12.0,100.0,-6.0,0
2012-08-08 03:00:00,7,8.0,14.285714285714285,-1.0,1
2012-08-08 04:00:00,7,8.0,14.285714285714285,-1.0,1
2012-08-08 05:00:00,43,39.0,9.30232558139535,4.0,1
2012-08-08 06:00:00,173,174.0,0.5780346820809248,-1.0,1
2012-08-08 07:00:00,482,468.0,2.904564315352697,14.0,1
2012-08-08 08:00:00,737,689.0,6.512890094979647,48.0,1
2012-08-08 09:00:00,341,328.0,3.812316715542522,13.0,1
2012-08-08 10:00:00,214,196.0,8.411214953271028,18.0,1
2012-08-08 11:00:00,239,223.0,6.694560669456067,16.0,1
2012-08-08 12:00:00,280,275.0,1.7857142857142856,5.0,1
2012-08-08 13:00:00,313,274.0,12.460063897763577,39.0,1
2012-08-08 14:00:00,236,258.0,9.322033898305085,-22.0,1
2012-08-08 15:00:00,278,277.0,0.3597122302158274,1.0,1
2012-08-08 16:00:00,441,412.0,6.575963718820861,29.0,1
2012-08-08 17:00:00,858,781.0,8.974358974358974,77.0,1
2012-08-08 18:00:00,862,795.0,7.77262180974478,67.0,1
2012-08-08 19:00:00,686,605.0,11.807580174927114,81.0,1
2012-08-08 20:00:00,500,450.0,10.0,50.0,1
2012-08-08 21:00:00,381,342.0,10.236220472440944,39.0,1
2012-08-08 22:00:00,233,254.0,9.012875536480687,-21.0,1
2012-08-08 23:00:00,136,160.0,17.647058823529413,-24.0,1
2012-08-09 00:00:00,67,64.0,4.477611940298507,3.0,1
